한글(국가명),영문(블룸버그),1차접종,2차접종,발생률순위,2차접종률순위,확진자비율(인구),일별접종수,치명(%),완치(%),발생률,인구수,치료중합계,치료중1일,위중증합계,위중증1일,확진자합계,확진자1일,사망자합계,사망자1일,완치합계,완치1일,백신접종수,백신보유율(인구)
보츠와나,Botswana,42.8,19.7,61.0,131.0,0.08288261701366756,-999.0,1.2,98.5,82883,2351627,532.0,,1.0,,194909,,2416,,191961.0,,1352557.0,56.9
우즈베키스탄,Uzbekistan,51.4,17.7,133.0,135.0,0.005761445828273831,-999.0,0.7,98.2,5761,33469203,1986.0,41.0,23.0,232.0,192831,232.0,1397,2.0,189448.0,189.0,32803308.0,98.6
키르기스스탄,Kyrgyzstan,17.2,13.8,104.0,138.0,0.02808744986929422,-999.0,1.5,97.2,28087,6524195,2459.0,-75.0,131.0,108.0,183248,108.0,2741,4.0,178048.0,179.0,1986976.0,31.1
핀란드,Finland,77.6,75.7,98.0,25.0,0.032898973418617077,-999.0,0.7,25.2,32899,5540720,134975.0,,44.0,,182284,,1309,,46000.0,,8554604.0,155.0
아프가니스탄,Afghanistan,11.5,9.3,141.0,147.0,0.004038650910059215,-999.0,4.6,89.3,4039,38928346,9446.0,15.0,1124.0,28.0,157218,28.0,7308,,140464.0,13.0,5116767.0,13.8
몬테네그로,Montenegro,43.7,40.7,1.0,95.0,0.2493495906481166,-999.0,1.5,96.7,249350,628066,2858.0,-74.0,60.0,340.0,156608,340.0,2283,2.0,151467.0,412.0,528111.0,84.8
모잠비크,Mozambique,20.2,11.1,135.0,143.0,0.004847636898990528,-999.0,1.3,98.7,4848,31255435,104.0,,8.0,,151515,,1940,,149471.0,,9843638.0,31.6
짐바브웨,Zimbabwe,25.2,18.7,125.0,133.0,0.009012425818768904,-999.0,3.5,96.0,9012,14862924,600.0,95.0,12.0,115.0,133951,115.0,4705,1.0,128646.0,19.0,6544331.0,43.9
키프로스,Cyprus,70.7,66.4,39.0,46.0,0.10888393592957853,11.1,0.4,94.6,108884,1207359,6501.0,,37.0,,131462,,591,,124370.0,,1298388.0,148.2
가나,Ghana,8.8,2.8,139.0,159.5,0.004213312290372266,-999.0,0.9,98.6,4213,31072940,669.0,,5.0,,130920,,1209,,129042.0,,3493688.0,11.6
나미비아,Namibia,14.4,12.0,88.0,141.0,0.0508401534099071,-999.0,2.8,97.1,50840,2540905,124.0,10.0,2.0,29.0,129180,29.0,3573,1.0,125483.0,18.0,649840.0,26.4
우간다,Uganda,9.6,2.3,151.0,163.0,0.002786361918092446,-999.0,2.6,76.8,2786,45741007,26352.0,-390.0,127.0,28.0,127451,28.0,3252,,97847.0,418.0,4835777.0,12.1
캄보디아,Cambodia,85.6,80.5,131.0,9.0,0.007182681463834634,13.4,2.4,97.0,7183,16718965,690.0,-1.0,,23.0,120087,23.0,2931,4.0,116466.0,20.0,28564676.0,173.2
엘살바도르,El Salvador,68.4,62.5,110.0,58.0,0.018334141458680384,10.1,3.2,85.8,18334,6486205,13133.0,-52.0,344.0,878.0,118919,878.0,3769,5.0,102017.0,925.0,9121715.0,141.3
코소보,Kosovo,47.3,42.1,79.0,93.0,0.059380942885880576,-999.0,2.1,98.0,59381,1810463,-85.0,,,,107507,,2269,,105323.0,,1609325.0,89.4
카메룬,Cameroon,3.0,2.2,142.0,164.0,0.004022999741993696,-999.0,1.7,96.2,4023,26545863,2287.0,,152.0,,106794,,1791,,102716.0,,923643.0,3.6
르완다,Rwanda,46.9,24.2,130.0,125.0,0.007745777595775488,-999.0,1.3,45.4,7746,12952218,53462.0,13.0,1.0,14.0,100325,14.0,1342,1.0,45521.0,,8748557.0,70.6
중국,Mainland China,87.5,76.9,176.0,16.5,6.853913042008971e-05,-999.0,4.7,94.5,69,1439323776,804.0,-5.0,,42.0,98650,42.0,4636,,93210.0,47.0,2472847000.0,176.6
몰디브,Maldives,106.3,97.5,10.0,2.0,0.1689964184229221,2.1,0.3,97.8,168996,540544,1807.0,-29.0,23.0,76.0,91350,76.0,248,,89295.0,105.0,766159.0,206.0
자메이카,Jamaica,24.2,18.5,99.0,134.0,0.030772327261515478,-999.0,2.6,68.4,30772,2961167,26390.0,-3.0,11.0,96.0,91122,96.0,2385,9.0,62347.0,90.0,1095662.0,40.2
룩셈부르크,Luxembourg,72.3,68.8,21.0,38.0,0.1407525504091198,7.9,1.0,94.5,140753,625978,3984.0,,10.0,,88108,,866,,83258.0,,895374.0,145.8
세네갈,Senegal,8.1,5.7,138.0,151.0,0.00441861697079783,-999.0,2.5,97.4,4419,16743927,13.0,1.0,2.0,4.0,73985,4.0,1885,,72087.0,3.0,1908088.0,11.7
라오스,Laos,52.3,43.3,122.0,87.0,0.009829896255408518,-999.0,0.2,10.3,9830,7275560,64020.0,2674.0,,2686.0,71518,2686.0,159,12.0,7339.0,,5830021.0,81.4
앙골라,Angola,20.8,9.2,157.0,148.0,0.001981940635068072,-999.0,2.7,97.0,1982,32866272,214.0,,3.0,9.0,65139,9.0,1733,,63192.0,9.0,9026310.0,30.0
말라위,Malawi,5.4,2.9,148.0,158.0,0.0032351884625742918,-999.0,3.7,94.9,3235,19129952,822.0,3.0,67.0,3.0,61889,3.0,2304,,58763.0,,1390496.0,6.9
코트디부아르,Ivory Coast,10.2,4.5,154.0,154.0,0.0023391977807190874,-999.0,1.1,98.3,2339,26378274,316.0,-2.0,,18.0,61704,18.0,704,,60684.0,20.0,3845788.0,14.6
콩고민주공화국,DR Congo,0.1,0.1,170.0,177.0,0.0006488844307184424,-999.0,1.9,87.6,649,89561403,6081.0,,,,58115,,1104,,50930.0,,186749.0,0.2
피지,Fiji,70.8,64.8,80.0,51.0,0.058557970650737076,-999.0,1.3,97.1,58558,896445,807.0,,,,52494,,696,,50991.0,,1213236.0,135.6
수리남,Suriname,43.0,36.4,58.0,102.0,0.08649545200398205,-999.0,2.3,58.3,86495,586632,20010.0,28.0,10.0,31.0,50741,31.0,1164,2.0,29567.0,1.0,473832.0,79.4
에스와티니,Eswatini,24.2,22.4,94.0,128.0,0.040104674856313416,-999.0,2.7,97.2,40105,1160164,42.0,4.0,10.0,4.0,46528,4.0,1248,,45238.0,,293353.0,26.3
마다가스카르,Madagascar,1.8,1.6,160.0,168.5,0.0015915630115151418,-999.0,2.2,93.8,1592,27691018,1783.0,,3.0,,44072,,967,,41322.0,,625884.0,2.3
수단,Sudan,5.3,1.3,165.0,172.0,0.0009591039848791063,-999.0,7.4,78.2,959,43849260,6037.0,,,,42056,,3114,,32905.0,,2698219.0,6.2
모리타니,Mauritania,26.1,16.6,128.0,136.0,0.008412446678874017,-999.0,2.1,95.4,8412,4649658,958.0,14.0,14.0,80.0,39115,80.0,831,2.0,37326.0,64.0,1734046.0,42.7
카보베르데,Cape Verde,55.2,43.0,71.0,90.0,0.06899082172784615,-999.0,0.9,98.9,68991,555987,72.0,-1.0,23.0,5.0,38358,5.0,349,,37937.0,6.0,539908.0,98.2
가이아나,Guyana,50.6,34.5,89.0,106.0,0.04793961492692155,-999.0,2.6,93.5,47940,786552,1480.0,24.0,16.0,44.0,37707,44.0,986,1.0,35241.0,19.0,668046.0,85.1
