국가명,eng_code,발생률,인구수,확진자_합계,백신접종,접종률(인구),발생률_순위,접종률_순위,확진자비율_전체인구,1차접종,2차접종,위중증,치명(%),완치(%),확진자1일,사망자합계,사망자1일,완치합계,완치1일,접종비율(일간)
모리타니,Mauritania,6013,4649658,27596,224000.0,2.8,119.0,144.0,0.005935060170016805,5.1,0.5,16,2.1,84.2,365.0,592,9.0,23228.0,189.0,2556.0
기니,Guinea,2044,13132795,26630,904845.0,3.3,146.0,138.5,0.002027748091704774,4.1,2.5,24,0.9,92.6,153.0,248,5.0,24669.0,72.0,15820.0
수리남,Suriname,44179,586632,25853,255396.0,21.4,72.0,93.5,0.04407021778559642,31.6,11.2,"22
+1",2.5,85.5,137.0,659,1.0,22106.0,71.0,2295.0
가봉,Gabon,11440,2225734,25462,103820.0,2.5,108.0,147.0,0.011439821649846747,3.0,2.0,8,0.6,99.2,22.0,165,,25248.0,20.0,1304.0
가이아나,Guyana,29155,786552,22843,396997.0,25.3,88.0,84.0,0.029041945097081946,32.5,18.1,13,2.4,94.2,54.0,554,1.0,21512.0,39.0,2561.0
세이셸,Seychelles,188943,98347,18582,141435.0,73.7,2.0,6.0,0.1889432316186564,75.9,71.4,,0.5,96.8,,94,,17992.0,,58.0
파푸아뉴기니,Papua New Guinea,1987,8947024,17774,100409.0,0.6,148.0,169.0,0.001986582354087795,1.0,0.2,7,1.1,97.8,,192,,17384.0,,1341.0
토고,Togo,2021,8278724,16559,474776.0,2.9,147.0,141.5,0.0020001874685036,4.0,1.9,,0.9,89.3,158.0,156,,14785.0,63.0,1469.0
대만,Taiwan,662,23816775,15775,9154501.0,19.4,167.0,98.0,0.0006623482818307685,36.7,2.1,,5.1,82.7,10.0,806,12.0,13053.0,35.0,152233.0
소말리아,Somalia,993,15893222,15735,279869.0,0.9,159.0,164.5,0.0009900446869741076,1.2,-999.0,,5.3,48.9,,837,,7695.0,,1367.0
타지키스탄,Tajikistan,1634,9537645,15513,806815.0,4.3,150.0,134.0,0.0016265021396791347,8.1,-999.0,,0.8,96.9,73.0,122,,15036.0,88.0,44964.0
바하마,Bahamas,39210,393244,15419,108596.0,14.3,79.0,110.0,0.03920975272349991,16.2,12.3,11,1.9,83.2,228.0,295,,12824.0,42.0,809.0
안도라,Andorra,192014,77265,14836,90547.0,58.8,1.0,33.0,0.1920144955672038,65.9,52.7,,0.9,97.4,27.0,128,,14444.0,28.0,424.0
말리,Mali,723,20250833,14633,206562.0,0.5,165.0,170.5,0.0007225875597314935,0.8,0.3,,3.6,95.6,18.0,534,,13982.0,5.0,441.0
벨리즈,Belize,36310,397628,14438,186813.0,22.9,83.0,87.0,0.03631032019877876,33.0,12.8,4,2.3,94.3,56.0,339,1.0,13622.0,33.0,2219.0
부르키나파소,Burkina Faso,651,20903273,13610,35402.0,0.1,168.0,176.0,0.0006510942090265003,0.2,-999.0,,1.2,98.4,11.0,169,,13391.0,6.0,173.0
레소토,Lesotho,6350,2142249,13603,72948.0,1.8,118.0,152.0,0.0063498687594205905,2.0,-999.0,,2.8,49.0,,377,,6664.0,,756.0
콩고공화국,Republic of the Congo,2395,5518087,13216,140998.0,1.5,143.0,154.0,0.00239503291629871,1.7,1.4,,1.3,94.0,,178,,12421.0,,2119.0
아루바,Aruba,115870,106766,12262,136962.0,61.1,11.0,27.0,0.1148492965925482,64.8,57.4,14,0.9,92.9,262.0,111,,11397.0,138.0,216.0
홍콩,Hong Kong,1602,7496981,12011,6124627.0,40.7,151.0,55.0,0.0016021115699773015,46.1,35.4,,1.8,97.6,7.0,212,,11724.0,3.0,65920.0
지부티,Djibouti,11801,988000,11659,26796.0,1.2,107.0,158.5,0.011800607287449394,1.7,-999.0,,1.3,98.6,3.0,156,,11495.0,,247.0
동티모르,Timor-Leste,8703,1318445,11475,402962.0,15.6,113.0,107.0,0.008703434728031886,23.2,-999.0,,0.2,88.1,89.0,26,,10114.0,19.0,5670.0
남수단,South Sudan,992,11193725,11100,56989.0,0.2,160.0,174.0,0.0009916270053087779,0.4,0.05,,1.1,94.7,10.0,120,,10514.0,,153.0
